qseqid	sseqid	genus	prevalence
Annotated_MAGs.concoct.9	SRR7685259_k141_1550112	g_Clostridium	NA
Annotated_MAGs.concoct.9	SRR17836576_k141_31807	g_Clostridium	NA
Annotated_MAGs.concoct.92	UHO267_k141_16200	Unknown	NA
Annotated_MAGs.concoct.92	LH1_587_k141_16474	Unknown	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.96	UHO126_k141_59446	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.97	LH1_387_k141_554841	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO388_k141_62669	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO42_k141_5155	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO56_k141_2842	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	LH1_588_k141_19780	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO42_k141_5155	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO24_k141_104500	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	LH1_387_k141_554841	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	LH1_398_k141_522217	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	ERR2241865_k141_289451	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO51_k141_27615	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	ERR2241865_k141_289451	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	LH1_387_k141_554841	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO24_k141_104500	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	ERR2241732_k141_271910	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	LH1_588_k141_19780	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO42_k141_5155	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO51_k141_27615	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO51_k141_27615	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO51_k141_27615	g_Lactobacillus	NA
Annotated_MAGs.concoct.97	UHO51_k141_27615	g_Lactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_588_k141_45635	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457761_k141_877247	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323170_k141_31258	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457770_k141_192960|provirus_3_26760	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241742_k141_120827	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241696_k141_25034	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457752_k141_270755	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241742_k141_120827	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457770_k141_192960|provirus_3_26760	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323170_k141_31258	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241898_k141_377681	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457752_k141_270755	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241696_k141_25034	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
